order_pk,order_id,order_date,customer_pk,payment_id
1,B-26776,2023-06-27,1,1
2,B-26776,2024-12-27,2,1
3,B-26776,2021-07-25,3,1
4,B-26776,2023-06-27,4,1
5,B-26776,2024-12-27,5,1
6,B-26776,2021-07-25,6,1
7,B-26942,2024-05-11,7,2
8,B-26942,2021-10-09,8,2
9,B-26640,2022-11-18,9,3
10,B-26640,2022-11-18,10,4
11,B-25890,2023-11-12,11,1
12,B-25102,2020-03-23,12,4
13,B-25426,2020-05-04,13,2
14,B-25426,2020-05-04,14,4
15,B-25426,2020-05-04,15,1
16,B-25238,2023-11-09,16,1
17,B-25238,2023-11-09,17,5
18,B-25051,2024-12-30,18,4
19,B-25051,2024-12-30,19,4
20,B-26510,2025-02-11,20,1
21,B-26510,2024-01-23,21,1
22,B-25104,2020-11-28,22,2
23,B-25104,2020-11-28,23,5
24,B-25553,2024-05-30,24,1
25,B-25553,2024-05-30,25,4
26,B-25553,2024-05-30,26,5
27,B-26703,2022-01-23,27,3
28,B-26232,2021-12-17,28,5
29,B-26232,2023-02-03,29,5
30,B-25394,2022-10-30,30,2
31,B-25394,2022-01-15,31,2
32,B-26157,2023-12-14,32,5
33,B-26157,2023-12-14,33,5
34,B-25555,2023-07-03,34,4
35,B-25555,2021-05-08,35,4
36,B-25555,2023-07-03,36,4
37,B-25555,2021-05-08,37,4
38,B-26139,2022-10-07,38,3
39,B-26139,2022-10-07,39,2
40,B-25032,2024-08-06,40,1
41,B-25032,2024-08-06,41,5
42,B-25032,2024-08-06,42,5
43,B-25730,2022-01-05,43,5
44,B-25730,2020-10-17,44,5
45,B-25730,2023-08-21,45,5
46,B-25730,2022-01-05,46,1
47,B-25730,2020-10-17,47,1
48,B-25730,2023-08-21,48,1
49,B-26470,2024-12-27,49,3
50,B-26470,2021-06-18,50,3
51,B-26470,2023-05-27,51,3
52,B-26470,2021-10-12,52,3
53,B-26470,2024-12-27,53,1
54,B-26470,2021-06-18,54,1
55,B-26470,2023-05-27,55,1
56,B-26470,2021-10-12,56,1
57,B-25988,2022-09-19,57,3
58,B-25568,2022-03-25,58,5
59,B-26730,2022-02-26,59,2
60,B-26730,2021-04-05,60,2
61,B-26730,2022-02-26,61,5
62,B-26730,2021-04-05,62,5
63,B-26730,2022-02-26,63,4
64,B-26730,2021-04-05,64,4
65,B-25372,2020-11-16,65,2
66,B-25372,2020-11-16,66,1
67,B-25372,2020-11-16,67,4
68,B-26026,2024-12-12,68,2
69,B-26026,2023-04-06,69,2
70,B-26026,2024-12-12,70,5
71,B-26026,2023-04-06,71,5
72,B-26026,2024-12-12,72,4
73,B-26026,2023-04-06,73,4
74,B-26026,2024-12-12,74,2
75,B-26026,2023-04-06,75,2
76,B-25295,2024-01-28,76,4
77,B-25295,2024-01-28,77,3
78,B-26121,2022-01-16,78,1
79,B-26121,2022-12-16,79,1
80,B-25560,2023-07-13,80,1
81,B-25560,2023-07-13,81,4
82,B-25560,2023-07-13,82,2
83,B-25560,2023-07-13,83,4
84,B-26076,2025-03-10,84,2
85,B-26076,2024-09-24,85,2
86,B-26076,2025-03-10,86,3
87,B-26076,2024-09-24,87,3
88,B-25872,2020-04-13,88,1
89,B-25872,2020-04-13,89,4
90,B-26185,2022-06-27,90,4
