order_details_id,order_pk,category_id,amount,profit,quantity
1,1,1,9726,1275,5
2,2,1,9726,1275,5
3,3,1,9726,1275,5
4,4,2,4975,1330,14
5,5,2,4975,1330,14
6,6,2,4975,1330,14
7,7,3,1525,185,12
8,8,3,1525,185,12
9,9,4,883,117,10
10,10,5,8127,3551,16
11,11,6,2516,734,19
12,12,3,2975,462,14
13,13,7,6851,2812,1
14,14,8,7626,1046,15
15,15,5,1023,78,9
16,16,3,7600,1098,10
17,17,9,7501,262,18
18,18,9,725,133,6
19,19,5,7201,2685,2
20,20,9,1629,265,1
21,21,9,1629,265,1
22,22,10,8971,2971,19
23,23,10,2939,894,20
24,24,11,9380,414,11
25,25,10,8558,1644,18
26,26,9,4080,72,17
27,27,1,4206,1821,17
28,28,10,5219,1180,20
29,29,10,5219,1180,20
30,30,3,3686,760,20
31,31,3,3686,760,20
32,32,9,6045,1606,4
33,33,3,9337,554,11
34,34,11,4051,1848,12
35,35,11,4051,1848,12
36,36,12,5011,866,11
37,37,12,5011,866,11
38,38,8,3958,630,15
39,39,5,3132,963,1
40,40,7,7784,2937,12
41,41,3,5591,1696,3
42,42,1,5122,2413,12
43,43,10,8293,2632,8
44,44,10,8293,2632,8
45,45,10,8293,2632,8
46,46,11,2863,205,17
47,47,11,2863,205,17
48,48,11,2863,205,17
49,49,5,3090,573,6
50,50,5,3090,573,6
51,51,5,3090,573,6
52,52,5,3090,573,6
53,53,2,9683,1014,5
54,54,2,9683,1014,5
55,55,2,9683,1014,5
56,56,2,9683,1014,5
57,57,5,2463,648,18
58,58,8,7811,1538,12
59,59,5,6139,451,10
60,60,5,6139,451,10
61,61,6,8636,3192,3
62,62,6,8636,3192,3
63,63,8,4439,1712,19
64,64,8,4439,1712,19
65,65,5,1016,172,20
66,66,5,5768,2059,14
67,67,5,1217,151,3
68,68,9,953,93,2
69,69,9,953,93,2
70,70,8,7355,1034,3
71,71,8,7355,1034,3
72,72,11,1843,248,3
73,73,11,1843,248,3
74,74,3,1603,361,10
75,75,3,1603,361,10
76,76,3,2025,528,1
77,77,10,6800,167,16
78,78,12,1126,55,1
79,79,12,1126,55,1
80,80,5,7533,3508,12
81,81,10,4734,1178,16
82,82,1,4074,1175,6
83,83,8,2334,484,3
84,84,11,2750,1239,11
85,85,11,2750,1239,11
86,86,3,8639,3104,19
87,87,3,8639,3104,19
88,88,7,3808,1192,4
89,89,3,2588,705,16
90,90,1,1591,727,5
91,91,1,1591,727,5
92,92,1,1591,727,5
93,93,6,1757,622,10
94,94,6,1757,622,10
95,95,12,6940,253,15
96,96,2,5105,465,5
97,97,5,5578,277,16
98,98,5,5578,277,16
99,99,6,5224,1958,16
100,100,7,5002,1801,11
101,101,7,7380,1673,18
102,102,6,7595,2873,4
103,103,6,7595,2873,4
104,104,8,1954,294,7
105,105,2,523,95,20
106,106,4,5704,714,13
107,107,4,5704,714,13
108,108,5,8797,1010,8
109,109,5,8797,1010,8
110,110,4,9236,2899,5
111,111,4,9236,2899,5
112,112,8,9109,586,17
113,113,11,4358,526,19
114,114,11,4358,526,19
115,115,11,6459,825,8
116,116,11,6459,825,8
117,117,12,2478,92,12
118,118,12,2478,92,12
119,119,12,2478,92,12
120,120,12,2478,92,12
121,121,3,9992,3696,20
122,122,3,9992,3696,20
123,123,3,9992,3696,20
124,124,10,9619,3420,7
125,125,10,9619,3420,7
126,126,10,9619,3420,7
127,127,2,9538,3158,20
128,128,2,9538,3158,20
129,129,6,9035,1227,14
130,130,6,9035,1227,14
131,131,9,2684,670,2
132,132,8,822,147,5
133,133,6,9730,2341,2
134,134,1,2483,236,2
135,135,10,1297,600,7
136,136,11,7909,1942,19
137,137,5,9768,4518,8
138,138,8,4968,934,5
139,139,4,1731,149,4
140,140,10,3433,1169,10
141,141,10,3433,1169,10
142,142,10,3433,1169,10
143,143,10,3887,1490,1
144,144,10,3887,1490,1
145,145,10,3887,1490,1
146,146,7,1801,641,20
147,147,5,5301,817,10
148,148,9,1166,520,12
149,149,9,3196,1411,15
150,150,6,3428,350,1
151,151,10,7223,2433,12
152,152,3,3731,647,1
153,153,3,8903,4401,18
154,154,11,6009,2107,7
155,155,11,6009,2107,7
156,156,5,2858,230,3
157,157,5,2858,230,3
158,158,8,8175,525,7
159,159,8,8175,525,7
160,160,8,5846,586,18
161,161,8,5846,586,18
162,162,4,706,197,11
163,163,5,9835,2571,16
164,164,5,9835,2571,16
165,165,5,9835,2571,16
166,166,7,9691,3056,13
167,167,7,9691,3056,13
168,168,7,9691,3056,13
169,169,12,7826,1221,14
170,170,12,7826,1221,14
171,171,12,7826,1221,14
172,172,8,770,241,11
173,173,8,770,241,11
174,174,12,9895,1598,20
175,175,9,6517,1581,10
176,176,9,6517,1581,10
177,177,5,1166,349,11
178,178,5,1166,349,11
179,179,6,9820,793,16
180,180,10,8563,2624,8
181,181,2,4441,281,20
182,182,9,7340,2271,8
183,183,11,5442,1610,1
184,184,5,1895,391,14
185,185,10,5323,322,13
186,186,7,8850,279,13
187,187,9,8667,1266,6
188,188,5,6903,105,1
189,189,3,8793,3010,7
190,190,9,9883,4812,16
191,191,9,9883,4812,16
192,192,9,9883,4812,16
193,193,9,5210,1185,7
194,194,9,5210,1185,7
195,195,9,5210,1185,7
196,196,2,3574,851,4
197,197,8,576,76,13
198,198,2,1860,457,13
199,199,3,782,374,8
200,200,4,4371,1852,1
201,201,11,8346,1176,1
202,202,11,8346,1176,1
203,203,11,8346,1176,1
204,204,5,6218,1125,5
205,205,5,6218,1125,5
206,206,5,6218,1125,5
207,207,2,5167,253,14
208,208,2,5167,253,14
209,209,2,5167,253,14
210,210,8,2799,1239,5
211,211,8,2799,1239,5
212,212,8,2799,1239,5
213,213,7,3234,1029,20
214,214,5,4920,775,12
215,215,12,9078,2213,15
216,216,12,8586,3826,7
217,217,12,8586,3826,7
218,218,8,5047,2211,13
219,219,8,5047,2211,13
220,220,8,5047,2211,13
221,221,8,5047,2211,13
222,222,8,3657,163,1
223,223,1,6471,2842,18
224,224,10,949,301,9
225,225,10,6823,771,6
226,226,5,4364,831,2
227,227,11,6671,2797,10
228,228,9,7472,1037,3
229,229,2,9548,1806,9
230,230,2,7759,3741,17
231,231,2,7759,3741,17
232,232,7,7521,3457,16
233,233,7,7521,3457,16
234,234,3,9704,4339,12
235,235,2,4948,2356,18
236,236,1,6435,334,10
237,237,7,9965,3033,16
238,238,7,9965,3033,16
239,239,8,1523,234,3
240,240,1,9073,424,7
241,241,4,6447,3079,20
242,242,1,8947,2807,6
243,243,3,914,400,8
244,244,9,1548,666,3
245,245,5,2759,1149,6
246,246,4,1341,615,4
247,247,1,9851,2669,19
248,248,1,9851,2669,19
249,249,1,9851,2669,19
250,250,5,9989,3930,14
