"month","total_profit","total_sales"
"2020-03","6192","22991"
"2020-04","36156","133385"
"2020-05","24294","113287"
"2020-06","9489","46900"
"2020-07","12008","38556"
"2020-08","27824","91117"
"2020-09","29876","109434"
"2020-10","24776","110836"
"2020-11","28979","108170"
"2020-12","24509","84725"
"2021-01","6449","22187"
"2021-02","19967","89829"
"2021-03","36377","103198"
"2021-04","18777","82463"
"2021-05","29182","124149"
"2021-06","24667","96616"
"2021-07","17409","85611"
"2021-08","15947","79494"
"2021-09","13592","57426"
"2021-10","34803","156211"
"2021-11","33254","150979"
"2021-12","32807","133283"
"2022-01","39808","145619"
"2022-02","29826","106735"
"2022-03","27220","93795"
"2022-04","28156","110873"
"2022-05","30140","143713"
"2022-06","45962","146997"
"2022-07","16986","61745"
"2022-08","58918","198965"
"2022-09","15425","48619"
"2022-10","39007","155508"
"2022-11","12750","42793"
"2022-12","48915","204413"
"2023-01","16237","64321"
"2023-02","15101","60982"
"2023-03","33445","105849"
"2023-04","22102","103109"
"2023-05","17651","83300"
"2023-06","25536","97770"
"2023-07","49391","181554"
"2023-08","19758","74870"
"2023-09","29086","108133"
"2023-10","35231","126861"
"2023-11","25529","88896"
"2023-12","32604","134078"
"2024-01","9292","47645"
"2024-02","25896","108414"
"2024-03","36008","119216"
"2024-04","34182","138052"
"2024-05","28362","117494"
"2024-06","36191","140745"
"2024-07","36323","129944"
"2024-08","20842","73384"
"2024-09","23265","84624"
"2024-10","21337","83105"
"2024-11","15657","60976"
"2024-12","20981","98879"
"2025-01","38595","112906"
"2025-02","28151","84712"
"2025-03","13497","52198"
